Dataset,Optimizer,objfname,k,ExecutionTime,SSE,Purity,Entropy,HS,CS,VM,AMI,ARI,Fmeasure,TWCV,SC,Accuracy,DI,DB,STDev,Iter1,Iter2,Iter3,Iter4,Iter5,Iter6,Iter7,Iter8,Iter9,Iter10,Iter11,Iter12,Iter13,Iter14,Iter15,Iter16,Iter17,Iter18,Iter19,Iter20,Iter21,Iter22,Iter23,Iter24,Iter25,Iter26,Iter27,Iter28,Iter29,Iter30,Iter31,Iter32,Iter33,Iter34,Iter35,Iter36,Iter37,Iter38,Iter39,Iter40,Iter41,Iter42,Iter43,Iter44,Iter45,Iter46,Iter47,Iter48,Iter49,Iter50
iris,SSA,SSE,3,1.84,3.03,0.96,0.14,0.86,0.86,0.86,0.86,0.89,0.96,2.83,0.21,0.89,0.82,0.63,0.06,0.0,20.01,18.76,13.05,11.73,8.57,8.57,6.92,6.63,6.63,6.63,5.9,5.03,5.03,4.4,4.02,3.84,3.51,3.45,3.28,3.22,3.17,3.11,3.11,3.1,3.07,3.07,3.06,3.05,3.05,3.04,3.04,3.04,3.04,3.04,3.04,3.04,3.04,3.03,3.03,3.03,3.03,3.03,3.03,3.03,3.03,3.03,3.03,3.03,3.03
iris,SSA,SSE,3,1.84,2.86,0.96,0.14,0.86,0.86,0.86,0.86,0.89,0.03,2.83,0.21,0.89,0.82,0.63,0.06,0.0,10.08,8.99,6.42,6.42,6.42,6.42,6.42,6.42,4.56,4.49,4.24,4.15,3.7,3.7,3.49,3.32,3.29,3.25,3.05,2.97,2.95,2.92,2.9,2.88,2.88,2.87,2.87,2.86,2.86,2.86,2.86,2.86,2.86,2.86,2.86,2.86,2.86,2.86,2.86,2.86,2.86,2.86,2.86,2.86,2.86,2.86,2.86,2.86,2.86
iris,SSA,SSE,3,1.94,4.5,0.84,0.28,0.72,0.77,0.74,0.74,0.64,0.0,3.67,0.26,0.64,0.96,0.63,0.07,0.0,20.99,20.99,11.72,11.72,10.16,7.98,7.54,7.54,7.54,7.5,6.84,6.84,6.84,6.29,5.64,5.64,5.41,5.3,5.11,4.93,4.75,4.71,4.67,4.63,4.6,4.57,4.54,4.53,4.52,4.51,4.51,4.51,4.51,4.51,4.51,4.51,4.51,4.51,4.51,4.5,4.5,4.5,4.5,4.5,4.5,4.5,4.5,4.5,4.5
aggregation,SSA,SSE,7,10.47,12.87,0.9,0.13,0.85,0.77,0.81,0.81,0.66,0.03,12.59,0.29,0.66,0.98,0.9,0.05,0.0,19.88,19.88,19.88,19.88,19.88,19.09,18.47,17.93,17.93,17.57,17.57,17.46,15.7,15.2,14.73,14.31,14.05,13.81,13.5,13.19,13.14,13.05,13.02,12.97,12.93,12.93,12.9,12.89,12.88,12.88,12.87,12.87,12.87,12.87,12.87,12.87,12.87,12.87,12.87,12.87,12.87,12.87,12.87,12.87,12.87,12.87,12.87,12.87,12.87
aggregation,SSA,SSE,7,10.31,11.31,0.91,0.1,0.89,0.81,0.85,0.85,0.74,0.18,11.04,0.27,0.74,0.97,0.77,0.05,0.0,21.07,21.07,17.52,17.52,17.52,17.52,17.52,15.94,14.04,14.04,14.04,14.04,13.03,12.04,12.04,12.04,12.04,12.04,11.78,11.71,11.65,11.58,11.48,11.41,11.36,11.35,11.33,11.33,11.32,11.32,11.32,11.31,11.31,11.31,11.31,11.31,11.31,11.31,11.31,11.31,11.31,11.31,11.31,11.31,11.31,11.31,11.31,11.31,11.31
aggregation,SSA,SSE,7,10.26,12.03,0.9,0.1,0.88,0.81,0.84,0.84,0.74,0.06,11.32,0.27,0.74,0.97,0.79,0.05,0.0,24.87,21.21,21.21,21.21,19.15,18.54,17.24,16.82,16.81,16.81,16.81,16.39,15.71,14.57,14.57,14.17,13.24,13.02,12.68,12.64,12.42,12.36,12.26,12.14,12.11,12.1,12.09,12.06,12.05,12.05,12.04,12.04,12.04,12.03,12.03,12.03,12.03,12.03,12.03,12.03,12.03,12.03,12.03,12.03,12.03,12.03,12.03,12.03,12.03
banknote,SSA,SSE,2,33.82,660.69,0.56,0.99,0.0,0.08,0.0,0.0,-0.0,0.31,632.11,0.45,-0.0,0.96,0.87,0.29,0.0,941.68,781.36,683.24,683.24,671.97,671.97,671.97,666.82,665.47,665.47,665.47,665.47,663.54,662.03,662.03,661.19,661.08,661.08,660.73,660.73,660.73,660.73,660.73,660.72,660.71,660.71,660.7,660.7,660.69,660.69,660.69,660.69,660.69,660.69,660.69,660.69,660.69,660.69,660.69,660.69,660.69,660.69,660.69,660.69,660.69,660.69,660.69,660.69,660.69
banknote,SSA,SSE,2,26.13,493.79,0.69,0.89,0.1,0.1,0.1,0.1,0.14,0.31,406.47,0.34,0.14,0.99,1.21,0.25,0.0,707.57,701.25,690.83,663.53,609.57,548.62,548.62,548.62,540.67,531.94,507.09,507.09,506.59,503.58,501.48,499.45,499.45,497.66,496.21,495.66,495.66,495.66,495.03,494.64,494.39,494.39,494.36,493.93,493.93,493.81,493.81,493.8,493.8,493.8,493.8,493.8,493.8,493.8,493.79,493.79,493.79,493.79,493.79,493.79,493.79,493.79,493.79,493.79,493.79
banknote,SSA,SSE,2,27.92,521.4,0.77,0.66,0.34,0.36,0.35,0.35,0.29,0.77,457.24,0.38,0.29,0.99,1.31,0.29,0.0,661.96,661.96,656.28,656.28,618.77,618.77,599.56,599.56,583.26,569.78,551.63,551.63,548.5,540.2,535.75,533.69,529.64,529.64,526.49,525.85,524.79,524.62,523.54,523.39,522.78,522.09,521.95,521.83,521.66,521.55,521.51,521.47,521.46,521.44,521.42,521.42,521.41,521.41,521.41,521.4,521.4,521.4,521.4,521.4,521.4,521.4,521.4,521.4,521.4
balance,SSA,SSE,3,7.98,140.1,0.63,0.76,0.09,0.07,0.08,0.08,0.09,0.44,139.97,0.42,0.09,0.86,1.7,0.12,0.0,161.26,157.52,152.41,152.41,147.37,147.37,147.37,145.29,145.29,142.99,142.99,141.74,141.74,141.51,141.44,141.44,141.43,140.91,140.71,140.45,140.43,140.33,140.26,140.22,140.18,140.16,140.14,140.13,140.12,140.12,140.11,140.11,140.11,140.1,140.1,140.1,140.1,140.1,140.1,140.1,140.1,140.1,140.1,140.1,140.1,140.1,140.1,140.1,140.1
balance,SSA,SSE,3,8.03,140.4,0.68,0.71,0.15,0.13,0.14,0.13,0.15,0.15,139.99,0.42,0.15,0.86,1.71,0.12,0.0,165.24,158.64,151.95,151.95,148.99,147.0,147.0,147.0,145.16,142.71,142.71,142.2,142.2,142.2,141.7,141.61,141.61,141.48,141.12,141.03,140.9,140.73,140.62,140.55,140.53,140.5,140.48,140.46,140.43,140.42,140.41,140.41,140.41,140.4,140.4,140.4,140.4,140.4,140.4,140.4,140.4,140.4,140.4,140.4,140.4,140.4,140.4,140.4,140.4
balance,SSA,SSE,3,8.36,142.03,0.63,0.77,0.08,0.07,0.07,0.07,0.09,0.28,141.81,0.42,0.09,0.86,1.76,0.13,0.0,157.42,157.01,153.6,149.44,147.73,147.71,147.52,147.52,147.52,147.52,147.38,146.27,144.78,144.35,143.84,143.66,143.13,142.83,142.64,142.53,142.4,142.28,142.2,142.19,142.14,142.09,142.07,142.06,142.04,142.04,142.03,142.03,142.03,142.03,142.03,142.03,142.03,142.03,142.03,142.03,142.03,142.03,142.03,142.03,142.03,142.03,142.03,142.03,142.03
ecoli,SSA,SSE,7,4.62,29.2,0.73,0.31,0.57,0.5,0.53,0.52,0.41,0.0,20.97,0.4,0.41,0.95,1.63,0.1,0.0,62.23,48.65,44.18,44.18,44.18,41.61,41.27,38.96,38.96,38.96,38.96,38.43,37.63,37.31,35.97,34.6,32.66,31.93,31.2,30.52,30.3,29.93,29.77,29.57,29.5,29.4,29.36,29.31,29.27,29.24,29.22,29.22,29.22,29.21,29.21,29.21,29.21,29.2,29.2,29.2,29.2,29.2,29.2,29.2,29.2,29.2,29.2,29.2,29.2
