optimizer,obj,trial,n_clusters,time_run,MIS,NMIS,RaS,ARS,HS,CS,VMS,PrS,ReS,FmS
SSA,SSEI,1,7,690.88494,1.44725052,0.80997839,0.90990331,0.7068341,0.85395408,0.77030959,0.80997812,0.89474002,0.6617566,0.76081131
SSA,SSEI,2,7,692.19224,1.44725052,0.80997839,0.90990331,0.7068341,0.85395408,0.77030959,0.80997812,0.89474002,0.6617566,0.76081131
SSA,SSEI,3,7,693.5514,1.44725052,0.80997839,0.90990331,0.7068341,0.85395408,0.77030959,0.80997812,0.89474002,0.6617566,0.76081131
GWO,SSEI,1,7,695.16122,1.5015301,0.84408069,0.92053612,0.7434273,0.8859819,0.80596393,0.84408075,0.91696262,0.69604266,0.79137385
GWO,SSEI,2,7,696.01113,1.5015301,0.84408069,0.92053612,0.7434273,0.8859819,0.80596393,0.84408075,0.91696262,0.69604266,0.79137385
GWO,SSEI,3,7,696.73629,1.5015301,0.84408069,0.92053612,0.7434273,0.8859819,0.80596393,0.84408075,0.91696262,0.69604266,0.79137385
MVO,SSEI,1,7,697.45364,1.48908021,0.83415364,0.91539548,0.72513516,0.8786358,0.79395859,0.83415375,0.90971735,0.67639743,0.77589653
MVO,SSEI,2,7,698.30872,1.48908021,0.83415364,0.91539548,0.72513516,0.8786358,0.79395859,0.83415375,0.90971735,0.67639743,0.77589653
MVO,SSEI,3,7,699.15738,1.48908021,0.83415364,0.91539548,0.72513516,0.8786358,0.79395859,0.83415375,0.90971735,0.67639743,0.77589653
PSO,SSEI,1,7,700.01292,1.41996513,0.79110398,0.89254639,0.64661403,0.83785426,0.74929521,0.79110405,0.85321024,0.60842108,0.71031743
PSO,SSEI,2,7,700.71387,1.41996513,0.79110398,0.89254639,0.64661403,0.83785426,0.74929521,0.79110405,0.85321024,0.60842108,0.71031743
PSO,SSEI,3,7,701.55356,1.41996513,0.79110398,0.89254639,0.64661403,0.83785426,0.74929521,0.79110405,0.85321024,0.60842108,0.71031743
