optimizer,obj,trial,n_clusters,time_run,BHI,DBI,DI,SI,RSI,FMS,HS,CS,VMS,KS
SADE,MSEI,1,6,324328.24666,4.37319,1.09904,0.13716,0.3165,-1.18202,0.55161,0.37416,0.5715,0.45224,0.55897
SADE,MSEI,2,6,324333.89162,4.51934,1.29446,0.14705,0.27056,-2.18615,0.49185,0.4055,0.54175,0.46383,0.49247
SADE,MSEI,3,6,324339.61413,4.17696,1.13366,0.15827,0.32593,-1.96913,0.56403,0.31644,0.5759,0.40845,0.57845
SADE,MSEI,4,6,324345.35632,4.19072,1.15373,0.15665,0.32472,-1.96933,0.62143,0.43186,0.69356,0.53228,0.63235
SADE,MSEI,5,6,324351.14418,4.20546,1.14458,0.15196,0.32012,-1.95922,0.57523,0.39724,0.53446,0.45575,0.57573
SADE,MSEI,6,6,324356.85622,4.42096,1.15703,0.16022,0.31198,-2.11998,0.58265,0.42642,0.56741,0.48691,0.59168
SADE,MSEI,7,6,324362.53963,4.18741,1.12564,0.16805,0.32926,-1.9691,0.52876,0.41587,0.54597,0.47212,0.52888
SADE,MSEI,8,6,324368.19857,4.33361,1.08642,0.16371,0.31758,-1.18431,0.4885,0.29359,0.51711,0.37454,0.50813
SADE,MSEI,9,6,324373.91253,4.47543,1.01738,0.18858,0.32173,-1.35673,0.50657,0.23347,0.53004,0.32416,0.54296
SADE,MSEI,10,6,324379.62755,4.29065,1.2906,0.18541,0.30727,-1.89032,0.57847,0.45085,0.57612,0.50584,0.58102
SADE,CHI,1,6,324385.34087,22.19175,1.08456,0.2527,0.46869,-0.50752,0.57517,0.27339,1.0,0.42939,0.62516
SADE,CHI,2,6,324390.94398,22.19175,1.08456,0.2527,0.46869,-0.50752,0.57517,0.27339,1.0,0.42939,0.62516
SADE,CHI,3,6,324396.63017,22.19175,1.08456,0.22957,0.46869,-0.50752,0.5097,0.0,1.0,0.0,0.6299
SADE,CHI,4,6,324402.2074,22.19175,1.08456,0.2527,0.46869,-0.50752,0.5097,0.0,1.0,0.0,0.6299
SADE,CHI,5,6,324407.89647,22.19175,1.08456,0.2527,0.46869,-0.50752,0.57517,0.27339,1.0,0.42939,0.62516
SADE,CHI,6,6,324413.45314,22.19175,1.08456,0.2527,0.46869,-0.50752,0.5097,0.0,1.0,0.0,0.6299
SADE,CHI,7,6,324419.12978,22.19175,1.08456,0.22957,0.46869,-0.50752,0.57517,0.27339,1.0,0.42939,0.62516
SADE,CHI,8,6,324424.83647,22.19175,1.08456,0.2527,0.46869,-0.50752,0.57517,0.27339,1.0,0.42939,0.62516
SADE,CHI,9,6,324430.65438,22.19175,1.08456,0.22957,0.46869,-0.50752,0.57517,0.27339,0.75251,0.40107,0.62516
SADE,CHI,10,6,324434.34225,22.19175,1.08456,0.22957,0.46869,-0.50752,0.57517,0.27339,1.0,0.42939,0.62516
SADE,NMIS,1,6,324437.91813,8.67086,1.33268,0.16659,0.42595,-2.82594,0.57225,0.21608,0.91844,0.34985,0.654
SADE,NMIS,2,6,324442.40113,10.808,1.80695,0.22327,0.33027,-3.17465,0.51714,0.2486,0.70044,0.36696,0.54986
SADE,NMIS,3,6,324446.86678,13.98245,1.47434,0.12922,0.39682,-1.26529,0.53721,0.19626,0.92737,0.32396,0.58553
