optimizer,obj,trial,n_clusters,fitness
SADE,MSEI,1,2,0.08890156=0.08890156=0.0887805=0.0887805=0.0887805=0.0887805=0.0887805=0.08809199=0.08809199=0.08809199=0.08809199=0.08809199=0.08809199=0.08809199=0.08809199=0.08754223=0.08754223=0.08754223=0.08744261=0.08744261=0.08744261=0.08736442=0.08736442=0.08736442=0.08716847=0.08716847=0.08716847=0.08687782=0.08687782=0.08687782=0.08687782=0.08687782=0.08687782=0.08687782=0.08687782=0.08687782=0.08687782=0.08687782=0.08687782=0.08687782=0.08687782=0.08687782=0.08687782=0.08687782=0.08687782=0.08687782=0.08687782=0.08687782=0.08687782=0.08687782=0.08687782=0.08687782=0.08687782=0.08687782=0.08687782=0.08687782=0.08687782=0.08687782=0.08687782=0.08687782=0.08687782=0.08687782=0.08687782=0.08687782=0.08687782=0.08687782=0.08687782=0.08687782=0.08687782=0.08687782=0.08687782=0.08687782=0.08687782=0.08687782=0.08687782=0.08687782=0.08687683=0.08687683=0.08687683=0.08687683=0.08687683=0.08687683=0.08687683=0.08687683=0.08687683=0.08687683=0.08687683=0.08687683=0.08687683=0.08687683=0.0868535=0.0868535=0.0868535=0.0868535=0.0868535=0.0868535=0.0868535=0.0868535=0.0868535=0.0868535
SADE,MSEI,2,2,0.09011345=0.09011345=0.09011345=0.08942324=0.08922669=0.08842603=0.08842603=0.08842603=0.08842603=0.08838744=0.08838744=0.08838744=0.08838744=0.08838744=0.08838744=0.08788459=0.08788459=0.08742914=0.08742914=0.08742914=0.08742914=0.08742914=0.08742914=0.08718732=0.08718732=0.08718732=0.08718732=0.08718732=0.08718732=0.08718732=0.08718732=0.08718732=0.08717489=0.08717489=0.08717489=0.08717489=0.08717489=0.08716089=0.08706926=0.08696386=0.08687782=0.08687782=0.08687782=0.08687782=0.0868535=0.0868535=0.0868535=0.0868535=0.0868535=0.0868535=0.0868535=0.0868535=0.0868535=0.0868535=0.0868535=0.0868535=0.0868535=0.0868535=0.0868535=0.0868535=0.0868535=0.0868535=0.0868535=0.0868535=0.0868535=0.0868535=0.0868535=0.0868535=0.0868535=0.0868535=0.0868535=0.0868535=0.0868535=0.0868535=0.0868535=0.0868535=0.0868535=0.0868535=0.0868535=0.0868535=0.0868535=0.0868535=0.0868535=0.0868535=0.0868535=0.0868535=0.0868535=0.0868535=0.0868535=0.0868535=0.0868535=0.0868535=0.0868535=0.0868535=0.0868535=0.0868535=0.0868535=0.0868535=0.0868535=0.0868535
SADE,MSEI,3,2,0.0919669=0.09043198=0.09043198=0.09043198=0.0896822=0.08900053=0.08900053=0.08891616=0.08891616=0.08880749=0.08880749=0.08847302=0.08847302=0.08827901=0.08795583=0.08795583=0.08795583=0.08752322=0.08752322=0.08711689=0.08711689=0.08709989=0.08703916=0.08703916=0.08703916=0.08694859=0.08694859=0.08694859=0.08694859=0.08694859=0.08694859=0.08694859=0.08692061=0.08692061=0.08692061=0.08692061=0.08689194=0.08687683=0.08687683=0.08687683=0.08687683=0.08687683=0.08687683=0.08687683=0.08687683=0.08687683=0.08687683=0.08687683=0.08687683=0.08687683=0.08687683=0.08687683=0.08687683=0.08687683=0.08687683=0.0868535=0.0868535=0.0868535=0.0868535=0.0868535=0.0868535=0.0868535=0.0868535=0.0868535=0.0868535=0.0868535=0.0868535=0.0868535=0.0868535=0.0868535=0.0868535=0.0868535=0.0868535=0.0868535=0.0868535=0.0868535=0.0868535=0.0868535=0.0868535=0.0868535=0.0868535=0.0868535=0.0868535=0.0868535=0.0868535=0.0868535=0.0868535=0.0868535=0.0868535=0.0868535=0.0868535=0.0868535=0.0868535=0.0868535=0.0868535=0.0868535=0.0868535=0.0868535=0.0868535=0.0868535
SADE,MSEI,4,2,0.09278635=0.08915326=0.08866662=0.08866662=0.08866662=0.08812652=0.08723625=0.08723625=0.08723625=0.08723625=0.08723625=0.08723625=0.08723625=0.08723625=0.08717313=0.08717313=0.08717313=0.08717313=0.0868535=0.0868535=0.0868535=0.0868535=0.0868535=0.0868535=0.0868535=0.0868535=0.0868535=0.0868535=0.0868535=0.0868535=0.0868535=0.0868535=0.0868535=0.0868535=0.0868535=0.0868535=0.0868535=0.0868535=0.0868535=0.0868535=0.0868535=0.0868535=0.0868535=0.0868535=0.0868535=0.0868535=0.0868535=0.0868535=0.0868535=0.0868535=0.0868535=0.0868535=0.0868535=0.0868535=0.0868535=0.0868535=0.0868535=0.0868535=0.0868535=0.0868535=0.0868535=0.0868535=0.0868535=0.0868535=0.0868535=0.0868535=0.0868535=0.0868535=0.0868535=0.0868535=0.0868535=0.0868535=0.0868535=0.0868535=0.0868535=0.0868535=0.0868535=0.0868535=0.0868535=0.0868535=0.0868535=0.0868535=0.0868535=0.0868535=0.0868535=0.0868535=0.0868535=0.0868535=0.0868535=0.0868535=0.0868535=0.0868535=0.0868535=0.0868535=0.0868535=0.0868535=0.0868535=0.0868535=0.0868535=0.0868535
SADE,MSEI,5,2,0.09115946=0.09115946=0.09006483=0.09000993=0.09000993=0.08935704=0.08935704=0.08868607=0.08868607=0.08822396=0.0870113=0.0870113=0.0870113=0.0870113=0.0870113=0.0870113=0.0870113=0.0870113=0.0870113=0.0870113=0.0870113=0.0870113=0.0870113=0.08698377=0.08698377=0.08690552=0.08690552=0.08690552=0.08690552=0.08690552=0.08690552=0.08690552=0.08690552=0.08690552=0.08690552=0.08690552=0.08690552=0.08690552=0.08690552=0.08690552=0.08689194=0.08689194=0.0868535=0.0868535=0.0868535=0.0868535=0.0868535=0.0868535=0.0868535=0.0868535=0.0868535=0.0868535=0.0868535=0.0868535=0.0868535=0.0868535=0.0868535=0.0868535=0.0868535=0.0868535=0.0868535=0.0868535=0.0868535=0.0868535=0.0868535=0.0868535=0.0868535=0.0868535=0.0868535=0.0868535=0.0868535=0.0868535=0.0868535=0.0868535=0.0868535=0.0868535=0.0868535=0.0868535=0.0868535=0.0868535=0.0868535=0.0868535=0.0868535=0.0868535=0.0868535=0.0868535=0.0868535=0.0868535=0.0868535=0.0868535=0.0868535=0.0868535=0.0868535=0.0868535=0.0868535=0.0868535=0.0868535=0.0868535=0.0868535=0.0868535
SADE,MSEI,6,2,0.08953173=0.08953173=0.08953173=0.08907583=0.08907583=0.08887713=0.08792887=0.08792887=0.08792887=0.08745702=0.08745702=0.08745702=0.08745702=0.08745702=0.08745702=0.08717385=0.08717385=0.08717385=0.08717385=0.08717385=0.08715623=0.08715623=0.08715623=0.08715623=0.08713975=0.08713975=0.08713975=0.08713975=0.08713975=0.08713975=0.08707695=0.08707695=0.08699948=0.08699948=0.08699948=0.08699948=0.08689194=0.08689194=0.08689194=0.08689194=0.08687782=0.08687782=0.08687782=0.08687782=0.08687782=0.08687782=0.08687782=0.08687782=0.08687782=0.08687782=0.0868535=0.0868535=0.0868535=0.0868535=0.0868535=0.0868535=0.0868535=0.0868535=0.0868535=0.0868535=0.0868535=0.0868535=0.0868535=0.0868535=0.0868535=0.0868535=0.0868535=0.0868535=0.0868535=0.0868535=0.0868535=0.0868535=0.0868535=0.0868535=0.0868535=0.0868535=0.0868535=0.0868535=0.0868535=0.0868535=0.0868535=0.0868535=0.0868535=0.0868535=0.0868535=0.0868535=0.0868535=0.0868535=0.0868535=0.0868535=0.0868535=0.0868535=0.0868535=0.0868535=0.0868535=0.0868535=0.0868535=0.0868535=0.0868535=0.0868535
SADE,MSEI,7,2,0.0911789=0.0911789=0.0911789=0.0911789=0.08911533=0.08782699=0.08782699=0.08769028=0.08769028=0.08769028=0.08769028=0.08751313=0.08751313=0.08728355=0.08717393=0.08717393=0.08717393=0.08717393=0.08717393=0.08712437=0.08712437=0.08712437=0.08712437=0.08708788=0.08694859=0.08694859=0.08694859=0.08694859=0.08694859=0.08694859=0.08694859=0.08694859=0.08694859=0.08692436=0.08692436=0.08692436=0.08692436=0.08692436=0.08692436=0.0868535=0.0868535=0.0868535=0.0868535=0.0868535=0.0868535=0.0868535=0.0868535=0.0868535=0.0868535=0.0868535=0.0868535=0.0868535=0.0868535=0.0868535=0.0868535=0.0868535=0.0868535=0.0868535=0.0868535=0.0868535=0.0868535=0.0868535=0.0868535=0.0868535=0.0868535=0.0868535=0.0868535=0.0868535=0.0868535=0.0868535=0.0868535=0.0868535=0.0868535=0.0868535=0.0868535=0.0868535=0.0868535=0.0868535=0.0868535=0.0868535=0.0868535=0.0868535=0.0868535=0.0868535=0.0868535=0.0868535=0.0868535=0.0868535=0.0868535=0.0868535=0.0868535=0.0868535=0.0868535=0.0868535=0.0868535=0.0868535=0.0868535=0.0868535=0.0868535=0.0868535
SADE,MSEI,8,2,0.09061384=0.09061384=0.09061384=0.09061384=0.08959326=0.08959326=0.08959326=0.08959326=0.08959326=0.08941744=0.08921858=0.08911069=0.08911069=0.08900371=0.08900371=0.08900371=0.08848669=0.08848669=0.08848669=0.08848669=0.08848669=0.08822432=0.08822432=0.08822432=0.08822432=0.08822432=0.08821861=0.08821861=0.08775565=0.08760636=0.08760636=0.08744627=0.08744627=0.08744627=0.08744627=0.08707486=0.08707486=0.08707486=0.08707486=0.08707486=0.08707486=0.08707486=0.08707486=0.08707486=0.08707486=0.08707486=0.08707486=0.08707486=0.08707486=0.08707486=0.08707486=0.08707486=0.08707486=0.08707486=0.08707486=0.08707406=0.08700318=0.08700318=0.08691063=0.08691063=0.08691063=0.08691063=0.08691063=0.08691063=0.08691063=0.08691063=0.08688614=0.08688614=0.0868535=0.0868535=0.0868535=0.0868535=0.0868535=0.0868535=0.0868535=0.0868535=0.0868535=0.0868535=0.0868535=0.0868535=0.0868535=0.0868535=0.0868535=0.0868535=0.0868535=0.0868535=0.0868535=0.0868535=0.0868535=0.0868535=0.0868535=0.0868535=0.0868535=0.0868535=0.0868535=0.0868535=0.0868535=0.0868535=0.0868535=0.0868535
SADE,MSEI,9,2,0.09094034=0.09085494=0.08967885=0.08967885=0.08967885=0.08851625=0.08851625=0.08851625=0.08851625=0.08851625=0.08792171=0.08789859=0.08772236=0.08751605=0.08751605=0.08751605=0.08751605=0.08751605=0.08747371=0.08743738=0.08721797=0.08718163=0.08718163=0.0869635=0.0869635=0.0869635=0.0869635=0.0869635=0.0869635=0.0869635=0.0869635=0.08692429=0.08692429=0.08692429=0.08687683=0.08687683=0.08687683=0.08687683=0.08687683=0.08687683=0.08687683=0.08687683=0.08687683=0.08687683=0.08687683=0.08687683=0.08687683=0.08687683=0.08687683=0.08687683=0.08687683=0.08687683=0.08687683=0.08687683=0.08687683=0.08687683=0.08687683=0.08687683=0.08687683=0.0868535=0.0868535=0.0868535=0.0868535=0.0868535=0.0868535=0.0868535=0.0868535=0.0868535=0.0868535=0.0868535=0.0868535=0.0868535=0.0868535=0.0868535=0.0868535=0.0868535=0.0868535=0.0868535=0.0868535=0.0868535=0.0868535=0.0868535=0.0868535=0.0868535=0.0868535=0.0868535=0.0868535=0.0868535=0.0868535=0.0868535=0.0868535=0.0868535=0.0868535=0.0868535=0.0868535=0.0868535=0.0868535=0.0868535=0.0868535=0.0868535
SADE,MSEI,10,2,0.08954877=0.08954877=0.08954877=0.08954877=0.08954877=0.08871305=0.08871305=0.0882222=0.08752223=0.08752223=0.08752223=0.08752223=0.08752223=0.08752223=0.08694859=0.08694859=0.08694859=0.08694859=0.08694859=0.08694859=0.08694859=0.08694859=0.08694859=0.08694859=0.08694859=0.08687683=0.08687683=0.08687683=0.08687683=0.08687683=0.08687683=0.08687683=0.08687683=0.08687683=0.08687683=0.08687683=0.08687683=0.08687683=0.08687683=0.08687683=0.08687683=0.08687683=0.08687683=0.08687683=0.08687683=0.08687683=0.08687683=0.0868535=0.0868535=0.0868535=0.0868535=0.0868535=0.0868535=0.0868535=0.0868535=0.0868535=0.0868535=0.0868535=0.0868535=0.0868535=0.0868535=0.0868535=0.0868535=0.0868535=0.0868535=0.0868535=0.0868535=0.0868535=0.0868535=0.0868535=0.0868535=0.0868535=0.0868535=0.0868535=0.0868535=0.0868535=0.0868535=0.0868535=0.0868535=0.0868535=0.0868535=0.0868535=0.0868535=0.0868535=0.0868535=0.0868535=0.0868535=0.0868535=0.0868535=0.0868535=0.0868535=0.0868535=0.0868535=0.0868535=0.0868535=0.0868535=0.0868535=0.0868535=0.0868535=0.0868535
