optimizer,obj,trial,n_clusters,fitness
SADE,MSEI,1,3,0.0117714=0.01146977=0.01143285=0.01143285=0.01143285=0.01143285=0.01109662=0.01109662=0.01109662=0.01109662=0.01109662=0.01109662=0.01109662=0.01103945=0.01103945=0.01103945=0.01103945=0.01103945=0.01103945=0.01103945=0.01103945=0.01103945=0.01103945=0.01103945=0.01103945=0.01103945=0.01103945=0.01103945=0.01103945=0.01103945=0.01103945=0.01103945=0.01103945=0.01103945=0.01103945=0.01103945=0.01103945=0.01103934=0.01103934=0.01103934=0.01103934=0.01103934=0.01103934=0.01103934=0.01103934=0.01103934=0.01103934=0.01103934=0.01103934=0.01103934=0.01103934=0.01103934=0.01103934=0.01103934=0.01103934=0.01103934=0.01103934=0.01103934=0.01103934=0.01103934=0.01103934=0.01103934=0.01103934=0.01103934=0.01103934=0.01103934=0.01103075=0.01103075=0.01103075=0.01103075=0.01103075=0.01103075=0.01103075=0.01103075=0.01103075=0.01103075=0.01103075=0.01103075=0.01102978=0.01102978=0.01101215=0.01101215=0.01101215=0.01101215=0.01101215=0.01101215=0.01101215=0.01101215=0.01101215=0.01101215=0.01101215=0.01101215=0.01101215=0.01101215=0.01101215=0.01101215=0.01101215=0.01101215=0.01101085=0.01101085=0.01101085=0.01101085=0.01101085=0.01101085=0.01101085=0.01101085=0.01101085=0.01101085=0.01101085=0.01101085=0.01101085=0.01101085=0.01101085=0.01101085=0.01101085=0.01101085=0.01101085=0.01101085=0.01101085=0.01101085=0.01101085=0.01101085=0.01101085=0.01101085=0.01101085=0.01101085=0.01101085=0.01101085=0.01101085=0.01101085=0.01101085=0.01101085=0.01101085=0.01101085=0.01101085=0.01101085=0.01101085=0.01101085=0.01101085=0.01101085=0.01101085=0.01101085=0.01101085=0.01101085=0.01100777=0.01100777=0.01100777=0.01100777=0.01100777=0.01100777
SADE,MSEI,2,3,0.01198091=0.01198091=0.01198091=0.01134985=0.0111659=0.0111659=0.0111659=0.0111659=0.01110982=0.01110982=0.01110982=0.01110982=0.01110982=0.01110982=0.01110982=0.01110982=0.01110982=0.01110982=0.01110982=0.0110768=0.0110768=0.0110768=0.0110768=0.0110768=0.0110768=0.0110768=0.0110768=0.0110768=0.0110768=0.0110768=0.0110768=0.0110768=0.01106832=0.01101364=0.01101364=0.01101364=0.01101364=0.01101364=0.01101364=0.01101364=0.01101364=0.01101364=0.01101364=0.01101364=0.01101364=0.01101364=0.01101364=0.01101364=0.01101364=0.01101364=0.01101364=0.01101364=0.01101364=0.01101364=0.01101364=0.01101364=0.01101364=0.01101364=0.01101364=0.01101364=0.01101364=0.01101364=0.01101364=0.01101364=0.01101364=0.01101364=0.01101364=0.01101364=0.01101364=0.01101364=0.01101364=0.01101364=0.01101364=0.01101364=0.01101364=0.01101364=0.01101364=0.01101364=0.01101364=0.01101364=0.01101364=0.01101364=0.01101364=0.01101364=0.01101364=0.01101364=0.01101364=0.01101364=0.01101364=0.01101364=0.01101364=0.01101364=0.01101364=0.01101364=0.01101364=0.01100722=0.01100722=0.01100722=0.01100722=0.01100722=0.01100722=0.01100722=0.01100722=0.01100722=0.01100722=0.01100722=0.01100722=0.01100722=0.01100722=0.01100722=0.01100722=0.01100722=0.01100722=0.01100722=0.01100722=0.01100722=0.01100722=0.01100722=0.01100722=0.01100722=0.01100722=0.01100722=0.01100722=0.01100722=0.01100722=0.01100722=0.01100722=0.01100722=0.01100722=0.01100722=0.01100722=0.01100722=0.01100722=0.01100722=0.01100722=0.01100722=0.01100722=0.01100722=0.01100722=0.01100722=0.01100722=0.01100722=0.01100722=0.01100722=0.01100722=0.01100722=0.01100722=0.01100722=0.01100722=0.01100722
SADE,MSEI,3,3,0.01182366=0.01121394=0.01121394=0.01121394=0.01121394=0.01121394=0.01121394=0.01121394=0.01118742=0.01118742=0.01118742=0.0111662=0.0111662=0.0111662=0.0111662=0.01113085=0.01113085=0.0111118=0.0111118=0.0111118=0.01108928=0.01108928=0.01108928=0.01108928=0.01108928=0.01108164=0.01108164=0.01105952=0.01105952=0.01105952=0.01105952=0.01105952=0.01105952=0.01105952=0.01105345=0.01105345=0.01105345=0.01105345=0.01105345=0.01105345=0.01105345=0.01104788=0.01103739=0.01102786=0.01102786=0.01102786=0.01102786=0.01102786=0.01102786=0.01102786=0.01102786=0.01101319=0.01101319=0.01101319=0.01101319=0.01101319=0.01101319=0.01101319=0.01101319=0.0110067=0.0110067=0.0110067=0.0110067=0.0110067=0.0110067=0.0110067=0.0110067=0.0110067=0.0110067=0.0110067=0.0110067=0.0110067=0.0110067=0.0110067=0.0110067=0.0110067=0.0110067=0.0110067=0.0110067=0.0110067=0.0110067=0.0110067=0.0110067=0.0110067=0.0110067=0.01100668=0.01100668=0.01100668=0.01100668=0.01100668=0.01100668=0.01100668=0.01100668=0.01100668=0.01100647=0.01100647=0.01100647=0.01100647=0.01100647=0.01100647=0.01100647=0.01100647=0.01100647=0.01100647=0.01100647=0.01100647=0.01100647=0.01100647=0.01100634=0.01100634=0.01100634=0.01100634=0.01100634=0.01100634=0.01100634=0.01100634=0.01100634=0.01100634=0.01100634=0.01100634=0.01100634=0.01100634=0.01100634=0.01100634=0.01100634=0.01100634=0.01100634=0.01100634=0.01100634=0.01100634=0.01100634=0.01100634=0.01100634=0.01100634=0.01100634=0.01100634=0.01100634=0.01100634=0.01100634=0.01100634=0.01100634=0.01100634=0.01100634=0.01100634=0.01100634=0.01100634=0.01100634=0.01100634=0.01100634=0.01100634
SADE,MSEI,4,3,0.0124727=0.0124727=0.01166893=0.01166893=0.01166893=0.01166893=0.01164118=0.01164118=0.01164118=0.01133661=0.01133661=0.01133661=0.01133661=0.01125017=0.01125017=0.01111822=0.01111822=0.01111822=0.01111822=0.01111822=0.01111822=0.01111822=0.01111822=0.01111822=0.01111822=0.01109449=0.01109449=0.01109449=0.01109449=0.01109449=0.01109449=0.01109449=0.01109449=0.01109449=0.01109449=0.01109449=0.01109449=0.01109449=0.01109449=0.01105706=0.01105706=0.01104073=0.01104073=0.01104073=0.01104073=0.01104073=0.01104073=0.01104073=0.01104073=0.01104073=0.01104073=0.01104073=0.01104073=0.01104073=0.01104073=0.01101201=0.01101201=0.01101201=0.01101201=0.01101201=0.01101201=0.01101201=0.01101201=0.01101201=0.01101201=0.01101201=0.0110083=0.0110083=0.0110083=0.0110083=0.0110083=0.0110083=0.0110083=0.0110083=0.0110083=0.0110083=0.0110083=0.0110083=0.0110083=0.0110083=0.0110083=0.0110083=0.0110083=0.0110083=0.0110083=0.0110083=0.0110083=0.0110083=0.0110083=0.0110083=0.0110083=0.0110083=0.0110083=0.0110083=0.0110083=0.0110083=0.0110083=0.0110083=0.0110083=0.0110083=0.0110083=0.0110083=0.0110083=0.0110083=0.0110083=0.0110083=0.0110083=0.0110083=0.0110083=0.0110083=0.0110083=0.0110083=0.0110083=0.0110083=0.0110083=0.0110083=0.0110083=0.0110083=0.0110083=0.0110083=0.0110083=0.0110083=0.0110083=0.0110083=0.0110083=0.0110083=0.0110083=0.0110083=0.0110083=0.0110083=0.0110083=0.0110083=0.0110083=0.0110083=0.0110083=0.0110083=0.0110078=0.0110078=0.0110078=0.0110078=0.0110078=0.0110078=0.0110078=0.0110078=0.0110078=0.0110078=0.0110078=0.0110078=0.0110078=0.0110078
SADE,MSEI,5,3,0.01207007=0.01207007=0.01207007=0.01150925=0.01131061=0.01122724=0.01122724=0.01115518=0.01115518=0.01115518=0.01115518=0.01110892=0.01110892=0.01110892=0.01110892=0.01110892=0.01110892=0.01110892=0.01110892=0.01110892=0.01110892=0.01110892=0.01110892=0.01110892=0.01110892=0.01110892=0.01110892=0.01110892=0.01110892=0.01106897=0.01106897=0.01106897=0.01106897=0.01106897=0.01103782=0.01103782=0.01103782=0.01103782=0.01103782=0.01103782=0.01103782=0.01103782=0.01103782=0.01103782=0.01103782=0.01103782=0.01103782=0.01103782=0.01103782=0.01103782=0.01103782=0.01103782=0.01103782=0.01103782=0.01103782=0.01103782=0.01103782=0.01103782=0.01103782=0.01103782=0.01103782=0.01103782=0.01103782=0.01103782=0.01103782=0.01103782=0.01103782=0.01103782=0.01103782=0.01103782=0.01103782=0.01103782=0.01103782=0.01103782=0.01103782=0.01103782=0.01103782=0.01103782=0.01103782=0.01103782=0.01103782=0.01103782=0.01103782=0.01103782=0.01103782=0.01103782=0.01103782=0.01101609=0.01101609=0.01101609=0.01101609=0.01101609=0.01101609=0.01101609=0.01101609=0.01101609=0.01101609=0.01101609=0.01101609=0.01101609=0.01100694=0.01100694=0.01100694=0.01100694=0.01100694=0.01100694=0.01100694=0.01100694=0.01100694=0.01100694=0.01100694=0.01100694=0.01100694=0.01100694=0.01100694=0.01100694=0.01100694=0.01100694=0.01100694=0.01100694=0.01100694=0.01100694=0.01100694=0.01100694=0.01100694=0.01100694=0.01100694=0.01100694=0.01100694=0.01100694=0.01100694=0.01100694=0.01100694=0.01100694=0.01100694=0.01100694=0.01100694=0.01100694=0.01100694=0.01100694=0.01100694=0.01100694=0.01100682=0.01100682=0.01100682=0.01100682=0.01100682=0.01100682=0.01100682=0.01100682
SADE,MSEI,6,3,0.01249098=0.01155604=0.01155604=0.01155604=0.01137715=0.01137715=0.01137715=0.01137715=0.01137715=0.01137715=0.01137715=0.01137715=0.01137715=0.01137715=0.01130243=0.01116881=0.01116881=0.0111636=0.0111636=0.0111636=0.0111636=0.01112461=0.01112461=0.01112461=0.01112461=0.01112461=0.01112461=0.01112461=0.01112461=0.01112461=0.01112461=0.01112461=0.0110814=0.0110814=0.0110814=0.0110814=0.0110814=0.0110814=0.0110814=0.0110814=0.0110814=0.0110814=0.0110814=0.0110814=0.0110814=0.0110814=0.0110814=0.0110814=0.0110814=0.01103699=0.01103699=0.01103699=0.01103699=0.01103699=0.01103699=0.01103699=0.01103699=0.01103699=0.01103699=0.01103699=0.01103699=0.01103699=0.01103699=0.01103699=0.01103699=0.01102322=0.01102322=0.01102322=0.01102322=0.01102322=0.01102322=0.01102322=0.01102322=0.01102322=0.01102322=0.01102322=0.01102322=0.01102322=0.0110224=0.0110224=0.0110224=0.0110224=0.0110224=0.0110224=0.0110224=0.0110224=0.0110224=0.0110224=0.0110224=0.0110224=0.0110224=0.0110224=0.01101796=0.01101796=0.01101796=0.01101796=0.01101796=0.01101796=0.01101796=0.0110155=0.0110155=0.0110155=0.0110155=0.0110155=0.0110155=0.0110155=0.0110155=0.0110155=0.0110155=0.0110155=0.0110155=0.0110155=0.0110155=0.0110155=0.0110155=0.0110155=0.01101442=0.01101442=0.01101442=0.01101442=0.01101442=0.01101442=0.01101442=0.01101442=0.01101332=0.01100849=0.01100849=0.01100849=0.01100849=0.01100849=0.01100849=0.01100849=0.01100849=0.01100849=0.01100849=0.01100849=0.01100849=0.01100849=0.01100849=0.01100849=0.01100849=0.01100849=0.01100849=0.01100849=0.01100849=0.01100849=0.01100849=0.01100849=0.01100849=0.01100849
SADE,MSEI,7,3,0.01177322=0.01177322=0.01177322=0.01177322=0.0110167=0.0110162=0.0110162=0.0110162=0.0110162=0.0110162=0.0110162=0.0110162=0.0110162=0.0110162=0.0110162=0.0110162=0.0110162=0.0110162=0.0110162=0.0110162=0.0110162=0.0110162=0.0110162=0.0110162=0.0110162=0.0110162=0.0110162=0.0110162=0.0110162=0.0110162=0.0110162=0.0110162=0.0110162=0.0110162=0.0110162=0.0110162=0.0110162=0.0110162=0.0110162=0.0110162=0.0110162=0.0110162=0.0110162=0.0110162=0.0110162=0.0110162=0.0110162=0.0110162=0.01101466=0.01101466=0.01101466=0.01101466=0.01101466=0.01101466=0.01101466=0.01101466=0.01101466=0.01101466=0.01101466=0.01101466=0.01101466=0.01101466=0.01101269=0.01101269=0.01101269=0.01101269=0.01101025=0.01100834=0.01100834=0.01100834=0.01100834=0.01100834=0.01100834=0.01100834=0.01100834=0.01100834=0.01100834=0.01100834=0.01100834=0.01100834=0.01100834=0.01100834=0.01100834=0.01100834=0.01100834=0.0110078=0.0110078=0.0110078=0.0110078=0.0110078=0.0110078=0.0110078=0.0110078=0.01100682=0.01100682=0.01100682=0.01100655=0.01100655=0.01100655=0.01100655=0.01100655=0.01100655=0.01100655=0.01100655=0.01100655=0.01100655=0.01100655=0.01100655=0.01100655=0.01100655=0.01100655=0.01100655=0.01100655=0.01100655=0.01100655=0.01100655=0.01100655=0.01100655=0.01100655=0.01100655=0.01100655=0.01100655=0.01100655=0.01100655=0.01100655=0.01100655=0.01100655=0.01100655=0.01100655=0.01100655=0.01100655=0.01100655=0.01100655=0.01100655=0.01100655=0.01100655=0.01100655=0.01100655=0.01100655=0.01100655=0.01100647=0.01100647=0.01100647=0.01100647=0.01100647=0.01100647=0.01100647=0.01100647=0.01100647=0.01100634
SADE,MSEI,8,3,0.01248109=0.01170488=0.01131093=0.01131093=0.01131093=0.01126913=0.01114909=0.01114909=0.01114909=0.01114909=0.01114909=0.01114909=0.01114909=0.01114909=0.01114909=0.01114909=0.01114909=0.01114909=0.01114909=0.01114909=0.0110692=0.0110692=0.0110692=0.0110692=0.01106788=0.01106788=0.01106788=0.01106788=0.01106788=0.01106788=0.01106788=0.01106788=0.01106788=0.01106788=0.01106667=0.01106667=0.01106667=0.01106667=0.01106667=0.01106667=0.01106667=0.01106667=0.01106667=0.01106667=0.01103545=0.01103545=0.01103545=0.01103545=0.01103545=0.01103545=0.01103545=0.01103545=0.01103545=0.01102365=0.01102365=0.01102365=0.01102365=0.01102365=0.01102365=0.01102365=0.01102365=0.01102365=0.01101616=0.01101616=0.01101616=0.01101616=0.01101616=0.01101616=0.01100819=0.01100819=0.01100819=0.01100819=0.01100819=0.01100819=0.01100819=0.01100819=0.01100819=0.01100819=0.01100819=0.01100819=0.01100819=0.01100819=0.01100819=0.01100819=0.01100819=0.01100819=0.01100819=0.01100819=0.01100819=0.01100819=0.01100682=0.01100682=0.01100682=0.01100682=0.01100682=0.01100682=0.01100682=0.01100682=0.01100682=0.01100682=0.01100682=0.01100682=0.01100682=0.01100682=0.01100682=0.01100682=0.01100682=0.01100682=0.01100682=0.01100682=0.0110067=0.0110067=0.0110067=0.0110067=0.0110067=0.01100647=0.01100634=0.01100634=0.01100634=0.01100634=0.01100634=0.01100634=0.01100634=0.01100634=0.01100634=0.01100634=0.01100634=0.01100634=0.01100634=0.01100634=0.01100634=0.01100634=0.01100634=0.01100634=0.01100634=0.01100634=0.01100634=0.01100634=0.01100634=0.01100634=0.01100634=0.01100634=0.01100634=0.01100634=0.01100634=0.01100634=0.01100634=0.01100634=0.01100634=0.01100634
SADE,MSEI,9,3,0.0116478=0.01151455=0.01151455=0.01151455=0.01131214=0.01131214=0.01109569=0.01109569=0.01109569=0.01109569=0.01109569=0.01109569=0.01109569=0.01109569=0.01109569=0.01104184=0.01104184=0.01104184=0.01104184=0.01104184=0.01102428=0.01102428=0.01102428=0.01102428=0.01102428=0.0110188=0.0110188=0.0110188=0.0110188=0.0110188=0.0110188=0.01101725=0.01101725=0.01101725=0.01101525=0.01101525=0.01101525=0.01101525=0.01101525=0.01101525=0.01101525=0.01101525=0.01101525=0.01101525=0.01101525=0.01101525=0.01101525=0.01101525=0.01101525=0.01101525=0.01101525=0.01101525=0.01101525=0.01101525=0.01101525=0.01101525=0.01101525=0.01101525=0.01101525=0.01101172=0.01101172=0.01101172=0.01101172=0.01101172=0.01101172=0.01101172=0.01101172=0.01101172=0.01100985=0.01100985=0.01100985=0.01100985=0.01100985=0.01100985=0.01100985=0.01100985=0.01100985=0.01100985=0.01100985=0.01100777=0.01100777=0.01100777=0.01100777=0.01100777=0.0110067=0.0110067=0.0110067=0.0110067=0.0110067=0.0110067=0.0110067=0.0110067=0.01100655=0.01100634=0.01100634=0.01100634=0.01100634=0.01100634=0.01100634=0.01100634=0.01100634=0.01100634=0.01100634=0.01100634=0.01100634=0.01100634=0.01100634=0.01100634=0.01100634=0.01100634=0.01100634=0.01100634=0.01100634=0.01100634=0.01100634=0.01100634=0.01100634=0.01100634=0.01100634=0.01100634=0.01100634=0.01100634=0.01100634=0.01100634=0.01100634=0.01100634=0.01100634=0.01100634=0.01100634=0.01100634=0.01100634=0.01100634=0.01100634=0.01100634=0.01100634=0.01100634=0.01100634=0.01100634=0.01100634=0.01100634=0.01100634=0.01100634=0.01100634=0.01100634=0.01100634=0.01100634=0.01100634=0.01100634=0.01100634=0.01100634
SADE,MSEI,10,3,0.01162203=0.01114838=0.01109277=0.01109277=0.01109277=0.01108918=0.01108918=0.01108918=0.01108918=0.01108918=0.01108918=0.01108918=0.01108918=0.01108918=0.01108918=0.01105483=0.01105483=0.01105483=0.01104612=0.01104612=0.01104612=0.01104612=0.01104612=0.01104612=0.01104612=0.01104612=0.01104612=0.01101718=0.01101718=0.01101718=0.01101718=0.01101718=0.01101718=0.01101718=0.01101718=0.01101718=0.01101718=0.01101718=0.01101718=0.01101718=0.01101718=0.01101718=0.01101718=0.01101718=0.01101718=0.01101718=0.01101718=0.01101718=0.01101718=0.01101718=0.01101718=0.01101718=0.01101718=0.01101718=0.01101718=0.01101718=0.01101718=0.01101718=0.0110162=0.0110162=0.0110162=0.0110162=0.0110162=0.0110162=0.0110162=0.01101551=0.01101551=0.01101551=0.01101551=0.01101306=0.01101306=0.01101306=0.01101306=0.01101306=0.01100848=0.01100848=0.01100848=0.01100848=0.01100848=0.01100848=0.01100848=0.01100848=0.01100848=0.01100848=0.01100848=0.01100848=0.01100848=0.01100848=0.01100848=0.01100848=0.01100848=0.01100848=0.01100848=0.01100848=0.01100634=0.01100634=0.01100634=0.01100634=0.01100634=0.01100634=0.01100634=0.01100634=0.01100634=0.01100634=0.01100634=0.01100634=0.01100634=0.01100634=0.01100634=0.01100634=0.01100634=0.01100634=0.01100634=0.01100634=0.01100634=0.01100634=0.01100634=0.01100634=0.01100634=0.01100634=0.01100634=0.01100634=0.01100634=0.01100634=0.01100634=0.01100634=0.01100634=0.01100634=0.01100634=0.01100634=0.01100634=0.01100634=0.01100634=0.01100634=0.01100634=0.01100634=0.01100634=0.01100634=0.01100634=0.01100634=0.01100634=0.01100634=0.01100634=0.01100634=0.01100634=0.01100634=0.01100634=0.01100634=0.01100634=0.01100634
