optimizer,obj,trial,n_clusters,fitness
SADE,MSEI,1,2,0.0834918=0.08349139=0.08349139=0.08349139=0.08349139=0.08349139=0.08349139=0.08349139=0.08349139=0.08349139=0.08349139=0.08349139=0.08349139=0.08349139=0.08349139=0.08349139=0.08349139=0.08348987=0.08348987=0.08348987=0.08348987=0.08348987=0.08348987=0.08348987=0.08348987=0.08348987=0.08348987=0.08348987=0.08348987=0.08348987=0.08348987=0.08348987=0.08348938=0.08348938=0.08348938=0.08348938=0.08348938=0.08348938=0.08348938=0.08348938=0.08348938=0.08348938=0.08348938=0.08348938=0.08348938=0.08348931=0.08348931=0.08348931=0.08348931=0.08348931=0.08348931=0.08348931=0.08348931=0.08348931=0.08348931=0.08348931=0.08348931=0.08348931=0.08348931=0.08348931=0.08348931=0.08348931=0.08348931=0.08348931=0.08348931=0.08348931=0.08348931=0.08348931=0.08348931=0.08348931=0.08348931=0.08348931=0.08348931=0.08348931=0.08348931=0.08348931=0.08348931=0.08348931=0.08348931=0.08348931=0.08348931=0.08348931=0.08348931=0.08348931=0.08348931=0.08348931=0.08348931=0.08348931=0.08348931=0.08348931=0.08348931=0.08348931=0.08348931=0.08348931=0.08348931=0.08348931=0.08348931=0.08348931=0.08348931=0.08348931=0.08348931=0.08348931=0.08348931=0.08348931=0.08348931=0.08348931=0.08348931=0.08348931=0.08348931=0.08348931=0.08348931=0.08348931=0.08348931=0.08348931=0.08348931=0.08348931=0.08348931=0.08348931=0.08348931=0.08348931=0.08348931=0.08348931=0.08348931=0.08348931=0.08348931=0.08348931=0.08348931=0.08348931=0.08348931=0.08348931=0.08348931=0.08348931=0.08348931=0.08348931=0.08348931=0.08348931=0.08348931=0.08348931=0.08348931=0.08348931=0.08348931=0.08348931=0.08348931=0.08348931=0.08348931=0.08348931=0.08348931=0.08348931=0.08348931=0.08348931
SADE,MSEI,2,2,0.08349677=0.08349677=0.08349677=0.08349677=0.08349677=0.08349677=0.08349677=0.08349677=0.08349677=0.08349677=0.08349677=0.08349677=0.08349677=0.08349677=0.08349677=0.08349677=0.08349677=0.08349677=0.08349612=0.08349612=0.08349473=0.08349295=0.08349295=0.08349295=0.08349295=0.08349295=0.08349295=0.08349295=0.08349295=0.08349006=0.08348938=0.08348931=0.08348931=0.08348931=0.08348931=0.08348931=0.08348931=0.08348931=0.08348931=0.08348931=0.08348931=0.08348931=0.08348931=0.08348931=0.08348931=0.08348931=0.08348931=0.08348931=0.08348931=0.08348931=0.08348931=0.08348931=0.08348931=0.08348931=0.08348931=0.08348931=0.08348931=0.08348931=0.08348931=0.08348931=0.08348931=0.08348931=0.08348931=0.08348931=0.08348931=0.08348931=0.08348931=0.08348931=0.08348931=0.08348931=0.08348931=0.08348931=0.08348931=0.08348931=0.08348931=0.08348931=0.08348931=0.08348931=0.08348931=0.08348931=0.08348931=0.08348931=0.08348931=0.08348931=0.08348931=0.08348931=0.08348931=0.08348931=0.08348931=0.08348931=0.08348931=0.08348931=0.08348931=0.08348931=0.08348931=0.08348931=0.08348931=0.08348931=0.08348931=0.08348931=0.08348931=0.08348931=0.08348931=0.08348931=0.08348931=0.08348931=0.08348931=0.08348931=0.08348931=0.08348931=0.08348931=0.08348931=0.08348931=0.08348931=0.08348931=0.08348931=0.08348931=0.08348931=0.08348931=0.08348931=0.08348931=0.08348931=0.08348931=0.08348931=0.08348931=0.08348931=0.08348931=0.08348931=0.08348931=0.08348931=0.08348931=0.08348931=0.08348931=0.08348931=0.08348931=0.08348931=0.08348931=0.08348931=0.08348931=0.08348931=0.08348931=0.08348931=0.08348931=0.08348931=0.08348931=0.08348931=0.08348931=0.08348931=0.08348931=0.08348931
SADE,MSEI,3,2,0.08351553=0.08351553=0.08351553=0.08351553=0.08351553=0.08351553=0.08351553=0.08349867=0.08349867=0.08349867=0.08349867=0.08349867=0.08349867=0.08349778=0.08349778=0.08349778=0.0834951=0.0834951=0.0834951=0.0834951=0.0834951=0.0834951=0.08349006=0.08349006=0.08349006=0.08349006=0.08349006=0.08348987=0.08348987=0.08348987=0.08348987=0.08348987=0.08348987=0.08348987=0.08348987=0.08348987=0.08348987=0.08348987=0.08348987=0.08348987=0.08348987=0.08348987=0.08348987=0.08348987=0.08348987=0.08348987=0.08348987=0.08348987=0.08348987=0.08348987=0.08348987=0.08348987=0.08348987=0.08348987=0.08348987=0.08348987=0.08348987=0.08348987=0.08348987=0.08348987=0.08348987=0.08348987=0.08348987=0.08348987=0.08348987=0.08348987=0.08348938=0.08348938=0.08348938=0.08348938=0.08348938=0.08348938=0.08348938=0.08348938=0.08348938=0.08348938=0.08348938=0.08348938=0.08348938=0.08348938=0.08348938=0.08348938=0.08348938=0.08348938=0.08348938=0.08348938=0.08348938=0.08348938=0.08348938=0.08348938=0.08348938=0.08348938=0.08348938=0.08348938=0.08348938=0.08348938=0.08348938=0.08348938=0.08348931=0.08348931=0.08348931=0.08348931=0.08348931=0.08348931=0.08348931=0.08348931=0.08348931=0.08348931=0.08348931=0.08348931=0.08348931=0.08348931=0.08348931=0.08348931=0.08348931=0.08348931=0.08348931=0.08348931=0.08348931=0.08348931=0.08348931=0.08348931=0.08348931=0.08348931=0.08348931=0.08348931=0.08348931=0.08348931=0.08348931=0.08348931=0.08348931=0.08348931=0.08348931=0.08348931=0.08348931=0.08348931=0.08348931=0.08348931=0.08348931=0.08348931=0.08348931=0.08348931=0.08348931=0.08348931=0.08348931=0.08348931=0.08348931=0.08348931=0.08348931=0.08348931
SADE,MSEI,4,2,0.08371819=0.083572=0.08357068=0.08357068=0.08357068=0.08354458=0.08354458=0.08353204=0.08353204=0.08352534=0.08349595=0.08349595=0.08349595=0.08349595=0.08349595=0.08349595=0.08349595=0.08349595=0.08349595=0.08349595=0.08349595=0.08349595=0.08349595=0.08349507=0.08349507=0.08349507=0.08349507=0.08349507=0.08349211=0.08349211=0.08349055=0.08349033=0.08348983=0.08348983=0.08348983=0.08348938=0.08348938=0.08348938=0.08348931=0.08348931=0.08348931=0.08348931=0.08348931=0.08348931=0.08348931=0.08348931=0.08348931=0.08348931=0.08348931=0.08348931=0.08348931=0.08348931=0.08348931=0.08348931=0.08348931=0.08348931=0.08348931=0.08348931=0.08348931=0.08348931=0.08348931=0.08348931=0.08348931=0.08348931=0.08348931=0.08348931=0.08348931=0.08348931=0.08348931=0.08348931=0.08348931=0.08348931=0.08348931=0.08348931=0.08348931=0.08348931=0.08348931=0.08348931=0.08348931=0.08348931=0.08348931=0.08348931=0.08348931=0.08348931=0.08348931=0.08348931=0.08348931=0.08348931=0.08348931=0.08348931=0.08348931=0.08348931=0.08348931=0.08348931=0.08348931=0.08348931=0.08348931=0.08348931=0.08348931=0.08348931=0.08348931=0.08348931=0.08348931=0.08348931=0.08348931=0.08348931=0.08348931=0.08348931=0.08348931=0.08348931=0.08348931=0.08348931=0.08348931=0.08348931=0.08348931=0.08348931=0.08348931=0.08348931=0.08348931=0.08348931=0.08348931=0.08348931=0.08348931=0.08348931=0.08348931=0.08348931=0.08348931=0.08348931=0.08348931=0.08348931=0.08348931=0.08348931=0.08348931=0.08348931=0.08348931=0.08348931=0.08348931=0.08348931=0.08348931=0.08348931=0.08348931=0.08348931=0.08348931=0.08348931=0.08348931=0.08348931=0.08348931=0.08348931=0.08348931=0.08348931
SADE,MSEI,5,2,0.08358115=0.08349865=0.08349865=0.08349865=0.08349865=0.08349865=0.08349272=0.08349272=0.08349272=0.08349272=0.08349272=0.08349272=0.08349272=0.08349272=0.08349272=0.08349272=0.08349272=0.08349272=0.08349272=0.08349272=0.08349272=0.08349046=0.08348938=0.08348938=0.08348938=0.08348938=0.08348938=0.08348938=0.08348938=0.08348938=0.08348938=0.08348938=0.08348938=0.08348938=0.08348938=0.08348938=0.08348938=0.08348938=0.08348938=0.08348938=0.08348938=0.08348938=0.08348938=0.08348938=0.08348938=0.08348938=0.08348938=0.08348938=0.08348938=0.08348938=0.08348938=0.08348938=0.08348931=0.08348931=0.08348931=0.08348931=0.08348931=0.08348931=0.08348931=0.08348931=0.08348931=0.08348931=0.08348931=0.08348931=0.08348931=0.08348931=0.08348931=0.08348931=0.08348931=0.08348931=0.08348931=0.08348931=0.08348931=0.08348931=0.08348931=0.08348931=0.08348931=0.08348931=0.08348931=0.08348931=0.08348931=0.08348931=0.08348931=0.08348931=0.08348931=0.08348931=0.08348931=0.08348931=0.08348931=0.08348931=0.08348931=0.08348931=0.08348931=0.08348931=0.08348931=0.08348931=0.08348931=0.08348931=0.08348931=0.08348931=0.08348931=0.08348931=0.08348931=0.08348931=0.08348931=0.08348931=0.08348931=0.08348931=0.08348931=0.08348931=0.08348931=0.08348931=0.08348931=0.08348931=0.08348931=0.08348931=0.08348931=0.08348931=0.08348931=0.08348931=0.08348931=0.08348931=0.08348931=0.08348931=0.08348931=0.08348931=0.08348931=0.08348931=0.08348931=0.08348931=0.08348931=0.08348931=0.08348931=0.08348931=0.08348931=0.08348931=0.08348931=0.08348931=0.08348931=0.08348931=0.08348931=0.08348931=0.08348931=0.08348931=0.08348931=0.08348931=0.08348931=0.08348931=0.08348931=0.08348931
SADE,MSEI,6,2,0.08361936=0.08361936=0.08354087=0.08354087=0.08354087=0.08354087=0.08354087=0.08354087=0.08351762=0.08351762=0.08350097=0.08350097=0.08350097=0.08350097=0.08350097=0.08350097=0.08350097=0.08350097=0.08349867=0.08349867=0.0834951=0.08348983=0.08348983=0.08348983=0.08348983=0.08348983=0.08348983=0.08348983=0.08348983=0.08348983=0.08348983=0.08348983=0.08348983=0.08348983=0.08348983=0.08348983=0.08348983=0.08348983=0.08348983=0.08348983=0.08348983=0.08348983=0.08348983=0.08348983=0.08348983=0.08348983=0.08348983=0.08348983=0.08348983=0.08348983=0.08348983=0.08348983=0.08348983=0.08348983=0.08348931=0.08348931=0.08348931=0.08348931=0.08348931=0.08348931=0.08348931=0.08348931=0.08348931=0.08348931=0.08348931=0.08348931=0.08348931=0.08348931=0.08348931=0.08348931=0.08348931=0.08348931=0.08348931=0.08348931=0.08348931=0.08348931=0.08348931=0.08348931=0.08348931=0.08348931=0.08348931=0.08348931=0.08348931=0.08348931=0.08348931=0.08348931=0.08348931=0.08348931=0.08348931=0.08348931=0.08348931=0.08348931=0.08348931=0.08348931=0.08348931=0.08348931=0.08348931=0.08348931=0.08348931=0.08348931=0.08348931=0.08348931=0.08348931=0.08348931=0.08348931=0.08348931=0.08348931=0.08348931=0.08348931=0.08348931=0.08348931=0.08348931=0.08348931=0.08348931=0.08348931=0.08348931=0.08348931=0.08348931=0.08348931=0.08348931=0.08348931=0.08348931=0.08348931=0.08348931=0.08348931=0.08348931=0.08348931=0.08348931=0.08348931=0.08348931=0.08348931=0.08348931=0.08348931=0.08348931=0.08348931=0.08348931=0.08348931=0.08348931=0.08348931=0.08348931=0.08348931=0.08348931=0.08348931=0.08348931=0.08348931=0.08348931=0.08348931=0.08348931=0.08348931=0.08348931
SADE,MSEI,7,2,0.08350001=0.08350001=0.08350001=0.08350001=0.08349865=0.08349865=0.08349865=0.08349865=0.08349865=0.08349865=0.08349865=0.08349865=0.08349865=0.08349865=0.08349865=0.08349033=0.08349033=0.08349033=0.08349033=0.08349033=0.08349033=0.08349033=0.08349033=0.08349033=0.08349033=0.08349033=0.08349033=0.08349033=0.08349033=0.08349033=0.08349033=0.08349033=0.08349033=0.08349033=0.08349033=0.08349033=0.08349033=0.08349033=0.08349033=0.08349033=0.08349033=0.08349033=0.08349033=0.08349033=0.08349029=0.08349029=0.08349029=0.08349029=0.08349029=0.08349029=0.08349006=0.08349006=0.08349006=0.08349006=0.08349006=0.08349006=0.08349006=0.08349006=0.08348931=0.08348931=0.08348931=0.08348931=0.08348931=0.08348931=0.08348931=0.08348931=0.08348931=0.08348931=0.08348931=0.08348931=0.08348931=0.08348931=0.08348931=0.08348931=0.08348931=0.08348931=0.08348931=0.08348931=0.08348931=0.08348931=0.08348931=0.08348931=0.08348931=0.08348931=0.08348931=0.08348931=0.08348931=0.08348931=0.08348931=0.08348931=0.08348931=0.08348931=0.08348931=0.08348931=0.08348931=0.08348931=0.08348931=0.08348931=0.08348931=0.08348931=0.08348931=0.08348931=0.08348931=0.08348931=0.08348931=0.08348931=0.08348931=0.08348931=0.08348931=0.08348931=0.08348931=0.08348931=0.08348931=0.08348931=0.08348931=0.08348931=0.08348931=0.08348931=0.08348931=0.08348931=0.08348931=0.08348931=0.08348931=0.08348931=0.08348931=0.08348931=0.08348931=0.08348931=0.08348931=0.08348931=0.08348931=0.08348931=0.08348931=0.08348931=0.08348931=0.08348931=0.08348931=0.08348931=0.08348931=0.08348931=0.08348931=0.08348931=0.08348931=0.08348931=0.08348931=0.08348931=0.08348931=0.08348931=0.08348931=0.08348931
SADE,MSEI,8,2,0.08368442=0.08349596=0.08349596=0.08349596=0.08349596=0.08349596=0.08349596=0.08349596=0.08349596=0.08349596=0.08349596=0.08349596=0.08349596=0.08349596=0.08349596=0.08349596=0.08349596=0.08349596=0.08349596=0.08349596=0.08349596=0.08349596=0.08349596=0.08349596=0.08349596=0.08349596=0.08349596=0.08349435=0.08349435=0.08349435=0.08349435=0.08349435=0.08349435=0.08349433=0.08349286=0.08349286=0.08349286=0.08349286=0.08349286=0.08349044=0.08349044=0.08349044=0.08349044=0.08349044=0.08349044=0.08349044=0.08349044=0.08348987=0.08348987=0.08348987=0.08348987=0.08348987=0.08348987=0.08348987=0.08348987=0.08348987=0.08348987=0.08348987=0.08348987=0.08348987=0.08348987=0.08348987=0.08348987=0.08348987=0.08348987=0.08348987=0.08348987=0.08348987=0.08348987=0.08348938=0.08348938=0.08348938=0.08348938=0.08348938=0.08348938=0.08348938=0.08348938=0.08348938=0.08348938=0.08348938=0.08348931=0.08348931=0.08348931=0.08348931=0.08348931=0.08348931=0.08348931=0.08348931=0.08348931=0.08348931=0.08348931=0.08348931=0.08348931=0.08348931=0.08348931=0.08348931=0.08348931=0.08348931=0.08348931=0.08348931=0.08348931=0.08348931=0.08348931=0.08348931=0.08348931=0.08348931=0.08348931=0.08348931=0.08348931=0.08348931=0.08348931=0.08348931=0.08348931=0.08348931=0.08348931=0.08348931=0.08348931=0.08348931=0.08348931=0.08348931=0.08348931=0.08348931=0.08348931=0.08348931=0.08348931=0.08348931=0.08348931=0.08348931=0.08348931=0.08348931=0.08348931=0.08348931=0.08348931=0.08348931=0.08348931=0.08348931=0.08348931=0.08348931=0.08348931=0.08348931=0.08348931=0.08348931=0.08348931=0.08348931=0.08348931=0.08348931=0.08348931=0.08348931=0.08348931=0.08348931
SADE,MSEI,9,2,0.08358816=0.08358816=0.08349139=0.08349139=0.08349139=0.08349139=0.08349139=0.08349125=0.08349125=0.08349125=0.08349125=0.08349125=0.08349125=0.08349125=0.0834909=0.0834909=0.08349036=0.08349036=0.08349036=0.08349036=0.08349036=0.08348983=0.08348983=0.08348983=0.08348983=0.08348983=0.08348983=0.08348983=0.08348938=0.08348938=0.08348938=0.08348938=0.08348938=0.08348938=0.08348938=0.08348938=0.08348938=0.08348938=0.08348938=0.08348931=0.08348931=0.08348931=0.08348931=0.08348931=0.08348931=0.08348931=0.08348931=0.08348931=0.08348931=0.08348931=0.08348931=0.08348931=0.08348931=0.08348931=0.08348931=0.08348931=0.08348931=0.08348931=0.08348931=0.08348931=0.08348931=0.08348931=0.08348931=0.08348931=0.08348931=0.08348931=0.08348931=0.08348931=0.08348931=0.08348931=0.08348931=0.08348931=0.08348931=0.08348931=0.08348931=0.08348931=0.08348931=0.08348931=0.08348931=0.08348931=0.08348931=0.08348931=0.08348931=0.08348931=0.08348931=0.08348931=0.08348931=0.08348931=0.08348931=0.08348931=0.08348931=0.08348931=0.08348931=0.08348931=0.08348931=0.08348931=0.08348931=0.08348931=0.08348931=0.08348931=0.08348931=0.08348931=0.08348931=0.08348931=0.08348931=0.08348931=0.08348931=0.08348931=0.08348931=0.08348931=0.08348931=0.08348931=0.08348931=0.08348931=0.08348931=0.08348931=0.08348931=0.08348931=0.08348931=0.08348931=0.08348931=0.08348931=0.08348931=0.08348931=0.08348931=0.08348931=0.08348931=0.08348931=0.08348931=0.08348931=0.08348931=0.08348931=0.08348931=0.08348931=0.08348931=0.08348931=0.08348931=0.08348931=0.08348931=0.08348931=0.08348931=0.08348931=0.08348931=0.08348931=0.08348931=0.08348931=0.08348931=0.08348931=0.08348931=0.08348931
SADE,MSEI,10,2,0.08349256=0.08349256=0.08349256=0.08349256=0.08349256=0.08349256=0.08349256=0.08349256=0.08349256=0.08349256=0.08349256=0.08349256=0.08349256=0.08349256=0.08349256=0.08349256=0.08349256=0.08349255=0.08349255=0.08349255=0.08349255=0.08349062=0.08349033=0.08349006=0.08349006=0.08349006=0.08349006=0.08349006=0.08349006=0.08349006=0.08349006=0.08348976=0.08348931=0.08348931=0.08348931=0.08348931=0.08348931=0.08348931=0.08348931=0.08348931=0.08348931=0.08348931=0.08348931=0.08348931=0.08348931=0.08348931=0.08348931=0.08348931=0.08348931=0.08348931=0.08348931=0.08348931=0.08348931=0.08348931=0.08348931=0.08348931=0.08348931=0.08348931=0.08348931=0.08348931=0.08348931=0.08348931=0.08348931=0.08348931=0.08348931=0.08348931=0.08348931=0.08348931=0.08348931=0.08348931=0.08348931=0.08348931=0.08348931=0.08348931=0.08348931=0.08348931=0.08348931=0.08348931=0.08348931=0.08348931=0.08348931=0.08348931=0.08348931=0.08348931=0.08348931=0.08348931=0.08348931=0.08348931=0.08348931=0.08348931=0.08348931=0.08348931=0.08348931=0.08348931=0.08348931=0.08348931=0.08348931=0.08348931=0.08348931=0.08348931=0.08348931=0.08348931=0.08348931=0.08348931=0.08348931=0.08348931=0.08348931=0.08348931=0.08348931=0.08348931=0.08348931=0.08348931=0.08348931=0.08348931=0.08348931=0.08348931=0.08348931=0.08348931=0.08348931=0.08348931=0.08348931=0.08348931=0.08348931=0.08348931=0.08348931=0.08348931=0.08348931=0.08348931=0.08348931=0.08348931=0.08348931=0.08348931=0.08348931=0.08348931=0.08348931=0.08348931=0.08348931=0.08348931=0.08348931=0.08348931=0.08348931=0.08348931=0.08348931=0.08348931=0.08348931=0.08348931=0.08348931=0.08348931=0.08348931=0.08348931
